index,expected,predicted,match,description
0,contains,within,False,home to
1,disjoint,invalid,False,"The city is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg and Sealy."
2,within,within,True,in
3,touches,within,False,"Nassau Bay is a city in Harris County  Texas  United States  bordering the southeastern edge of the city of Houston."
4,within,within,True,in
5,touches,invalid,False,The city is bounded by Topanga on the east  the Santa Monica Mountains (Agoura Hills  Calabasas  and Woodland Hills) to the north  the Pacific Ocean to the south  and Solromar in Ventura County to the west
6,disjoint,disjoint,True,"It is in the Palo Verde Valley of the Lower Colorado River Valley region  an agricultural area and part of the Colorado Desert along the Colorado River  approximately 224 miles (360 km) east of Los Angeles and 150 miles (240 km) west of Phoenix."
7,overlaps,disjoint,False,a small portion in
8,touches,invalid,False,"West Covina is bordered by Covina to the northeast  Baldwin Park and Irwindale to the northwest  La Puente and Valinda to the southwest  Industry to the south  Ramona to the east  and Walnut to the southeast."
9,disjoint,invalid,False,"It is located in the San Joaquin Valley  22 miles (35 km) east-southeast of Fresno  at an elevation of 348 feet (106 m)."
10,touches,disjoint,False,located partially within 
11,within,invalid,False,"Cypress is a city in northwestern Orange County within Southern California."
12,touches,overlaps,False,partially within
13,disjoint,disjoint,True,"Livingston is located 7 miles (11 km) west-northwest of Atwater  at an elevation of 131 feet (40 m)."
14,within,within,True,located in
15,within,within,True,"Hawaiian Gardens is a city in Los Angeles County  California  United States."
16,touches,disjoint,False,"San Dimas is bordered by the San Gabriel Mountains range to the north  Glendora and Covina to the west  La Verne to its north and east side  Pomona to its south and east side  Walnut and the unincorporated community of Ramona to the southwest  and the unincorporated community of West San Dimas  which is an enclave in the southwestern portion of the city."
17,touches,within,False,"Alamo Heights is an incorporated city that is surrounded by the city of San Antonio in Bexar County in the U.S. state of Texas."
18,within,within,True,"Long Beach is a city in Los Angeles County  California."
19,contains,contains,True,home to
20,disjoint,disjoint,True,Midland was founded as the midway point between Fort Worth and El Paso on the Texas and Pacific Railroad in 1881
21,contains,within,False,home to
22,touches,disjoint,False,"Monterey Park is bordered by Alhambra  Los Angeles  Montebello  and Rosemead."
23,within,within,True,in
24,within,within,True,in
25,crosses,touches,False,Principal access to the city is supplied by State Route 17 that connects San Jose and Santa Cruz.
26,within,within,True,located in
27,touches,within,False,"Haltom City is surrounded almost entirely by Fort Worth  North Richland Hills  Watauga  and Richland Hills."
28,touches,disjoint,False,"The city is between South San Francisco and Millbrae  adjacent to San Francisco International Airport and Golden Gate National Cemetery; it is approximately 12 miles (19 km) south of Downtown San Francisco."
29,touches,within,False,"The City of Hurst is surrounded by other communities including Bedford  Euless  Fort Worth  Richland Hills  North Richland Hills  Grapevine  and Colleyville."
30,disjoint,disjoint,True,"Arvin is located 15 miles (24 km) southeast of Bakersfield  at an elevation of 449 feet (137 m)."
31,within,within,True,in
32,touches,disjoint,False,"Burlingame on its southeast."
33,touches,disjoint,False,"The city limits extend south to the Rio Grande  across from the Mexican city of Reynosa."
34,contains,within,False,home to
35,disjoint,overlaps,False,"The community is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg in Fort Bend County and Wallis in Austin County."
36,within,within,True,in
37,touches,invalid,False,It is almost 15 miles (24 km) north of Temecula and just north of Murrieta
38,touches,invalid,False,"San Dimas is bordered by the San Gabriel Mountains range to the north  Glendora and Covina to the west  La Verne to its north and east side  Pomona to its south and east side  Walnut and the unincorporated community of Ramona to the southwest  and the unincorporated community of West San Dimas  which is an enclave in the southwestern portion of the city."
39,disjoint,invalid,False,west of
40,disjoint,disjoint,True,near
41,disjoint,touches,False,"Canadian is on the eastern side of the Texas Panhandle  close to the border with Oklahoma."
42,disjoint,touches,False,located southwest of 
43,overlaps,within,False,5 799 of the population in
44,within,within,True,county seat of
45,touches,disjoint,False,"West University Place is surrounded by the cities of Bellaire  Houston  and Southside Place."
46,within,within,True,part of
47,touches,disjoint,False,"Upland is a city in San Bernardino County  California  United States on the border with is neighboring Los Angeles County."
48,overlaps,within,False,"It also extends into Collin and Hunt counties."
49,touches,disjoint,False,"Laguna Niguel is located in the San Joaquin Hills in the southeastern corner of Orange County  close to the Pacific Ocean  and borders the cities of Aliso Viejo  Dana Point  Laguna Beach  Laguna Hills  Mission Viejo  and San Juan Capistrano."
50,disjoint,disjoint,True,"Anderson is a city in Shasta County  California  approximately 10 miles south of Redding."
