id,question,direction
1,I am running east along the north shore of the lake. In which direction is the lake?,south
2,I am running south-east along the north-east shore of the lake. In which direction is the lake?,south-west
3,I am running south along the east shore of the lake. In which direction is the lake?,west
4,I am running south-west along the south-east shore of the lake. In which direction is the lake?,north-west
5,I am running west along the south shore of the lake. In which direction is the lake?,north
6,I am running north-west along the south-west shore of the lake. In which direction is the lake?,north-east
7,I am running north along the west shore of the lake. In which direction is the lake?,east
8,I am running north-east along the north-west shore of the lake. In which direction is the lake?,south-east
9,I am walking east along the north shore of the lake. In which direction is the lake?,south
10,I am walking south-east along the north-east shore of the lake. In which direction is the lake?,south-west
11,I am walking south along the east shore of the lake. In which direction is the lake?,west
12,I am walking south-west along the south-east shore of the lake. In which direction is the lake?,north-west
13,I am walking west along the south shore of the lake. In which direction is the lake?,north
14,I am walking north-west along the south-west shore of the lake. In which direction is the lake?,north-east
15,I am walking north along the west shore of the lake. In which direction is the lake?,east
16,I am walking north-east along the north-west shore of the lake. In which direction is the lake?,south-east
17,I am cycling east along the north shore of the lake. In which direction is the lake?,south
18,I am cycling south-east along the north-east shore of the lake. In which direction is the lake?,south-west
19,I am cycling south along the east shore of the lake. In which direction is the lake?,west
20,I am cycling south-west along the south-east shore of the lake. In which direction is the lake?,north-west
21,I am cycling west along the south shore of the lake. In which direction is the lake?,north
22,I am cycling north-west along the south-west shore of the lake. In which direction is the lake?,north-east
23,I am cycling north along the west shore of the lake. In which direction is the lake?,east
24,I am cycling north-east along the north-west shore of the lake. In which direction is the lake?,south-east
25,I am driving east along the north shore of the lake. In which direction is the lake?,south
26,I am driving south-east along the north-east shore of the lake. In which direction is the lake?,south-west
27,I am driving south along the east shore of the lake. In which direction is the lake?,west
28,I am driving south-west along the south-east shore of the lake. In which direction is the lake?,north-west
29,I am driving west along the south shore of the lake. In which direction is the lake?,north
30,I am driving north-west along the south-west shore of the lake. In which direction is the lake?,north-east
31,I am driving north along the west shore of the lake. In which direction is the lake?,east
32,I am driving north-east along the north-west shore of the lake. In which direction is the lake?,south-east
33,I am jogging east along the north shore of the lake. In which direction is the lake?,south
34,I am jogging south-east along the north-east shore of the lake. In which direction is the lake?,south-west
35,I am jogging south along the east shore of the lake. In which direction is the lake?,west
36,I am jogging south-west along the south-east shore of the lake. In which direction is the lake?,north-west
37,I am jogging west along the south shore of the lake. In which direction is the lake?,north
38,I am jogging north-west along the south-west shore of the lake. In which direction is the lake?,north-east
39,I am jogging north along the west shore of the lake. In which direction is the lake?,east
40,I am jogging north-east along the north-west shore of the lake. In which direction is the lake?,south-east
41,I am riding east along the north shore of the lake. In which direction is the lake?,south
42,I am riding south-east along the north-east shore of the lake. In which direction is the lake?,south-west
43,I am riding south along the east shore of the lake. In which direction is the lake?,west
44,I am riding south-west along the south-east shore of the lake. In which direction is the lake?,north-west
45,I am riding west along the south shore of the lake. In which direction is the lake?,north
