placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
city,MultiPolygon,commercial,Polygon,"""San Antonio is home to four Fortune 500 companies and the South Texas Medical Center, the only medical research and care provider in the South Texas region.""","San Antonio, Texas","South Texas Medical Center, Texas",home to,contains,is home to
city,MultiPolygon,amenity,Polygon,home to,"Appleton,wisconsin","fox cities performing arts center,wisconsin",home to,contains,is home to
town,Polygon,highway,LineString,"""Located on Interstate 10 and US 90 between San Antonio, Austin, and Houston, Weimar is a small community of predominantly Czech and German descendants.""","Weimar, Texas",US 90,located on,crosses,is located on
city,Polygon,county,Polygon,in,"Nekoosa,wisconsin","wood county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,mostly in,"Menasha,wisconsin","winnebago county,wisconsin",mostly in,overlaps,is mostly in
town,Polygon,town,Polygon,"""Incorporated in 1967, it lies in between the cities of Palm Desert and La Quinta.""","Indian Wells, California","La Quinta, California",between,touches,is between C and
tourism,Polygon,water,Polygon,"""The city is adjacent to Grapevine Lake, a large reservoir impounded by the Army Corps of Engineers in 1952 that serves as a source of water and recreational area.""",Grapevine,"Grapevine Lake, Texas",adjacent to,overlaps,is adjacent to
aeroway,Polygon,city,Polygon,"""The southwestern portion of Dallas/Fort Worth International Airport is inside the city limits of Euless.""","Dallas/Fort Worth International Airport, Texas","Euless, Texas",inside the city limits of,overlaps,inside the city limits of
city,Polygon,city,MultiPolygon,Whitehall is situated on the former Green Bay and Western Railroad midway between La Crosse and Eau Claire.,"Whitehall,wisconsin","eau claire ,wisconsin",midway between,disjoint,is midway between C and
city,MultiPolygon,city,Polygon,"""It lies 23 miles (37 km) east of Palm Springs, 75 miles (121 km) east of Riverside, 127 miles (204 km) east of Los Angeles, 148 miles (238 km) northeast of San Diego, and 250 miles (402 km) west of Phoenix.""","Indio, California","Los Angeles, California",direction of,disjoint,just direction of
city,Polygon,river,LineString,at the confluence of,"Prescott,wisconsin","st. croix river,wisconsin",at the confluence of,crosses,at the confluence of
city,MultiPolygon,city,MultiPolygon,"Interstate 94 connects Kenosha to the Chicago and Milwaukee metro areas, and Kenosha itself is situated about halfway between each city","Kenosha,wisconsin","Milwaukee,wisconsin",halfway between,disjoint,is halfway between C and
city,Polygon,nature_reserve,MultiPolygon,near,"Whitewater,wisconsin","kettle moraine state forest,wisconsin",near,disjoint,is near
city,Polygon,city,MultiPolygon,"""An enclave, it is surrounded on all sides by the city of Austin.""","Sunset Valley, Texas","Austin, Texas",surrounded by,touches,is surrounded by
city,Polygon,man_made,Polygon,"""Eagle Pass borders the city of Piedras Negras, Coahuila, Mexico, which is to the southwest and across the Rio Grande.""","Eagle Pass, Texas","Piedras Negras, Texas",borders,overlaps,borders
city,Polygon,city,Polygon,"""It is a suburb of Brownwood, and the population was 2,762 at the 2010 census.""","Early, Texas","Brownwood, Texas",suburb of,overlaps,is suburb of
town,Polygon,census,Polygon,"""It is mostly surrounded by the city of Los Angeles, but also shares a border with the unincorporated area of Ladera Heights.""","Culver City, California","Ladera Heights, California",shares its borders with,touches,share border with
city,Polygon,village,Polygon,"""The city is located on the Texas-New Mexico border with the city of Texico, New Mexico, across the border.""","Farwell, Texas","Texico, New Mexico",borders,touches,borders
town,Polygon,moutain_range,linestring,"The city is bounded by Topanga on the east, the Santa Monica Mountains (Agoura Hills, Calabasas, and Woodland Hills) to the north, the Pacific Ocean to the south, and Solromar in Ventura County to the west","Malibu, california",Santa Monica Mountains,bounded by,crosses,is bounded by
city,Polygon,aeroway,Polygon,"""Poway is considered part of San Diego's North County.""","Poway, California","San Diego County, California",part of,disjoint,is part of
highway,LineString,highway,LineString,"""Tilden lies at the intersection of State Highways 16 and 72 in the north central part of the county.""","State Highways 16, Texas","State High 72, Texas",intersection,crosses,intersect
city,MultiPolygon,city,Polygon,"""The city, formerly part of Port Arthur's extraterritorial jurisdiction, voted to incorporate in an election held on September 10, 2005.""","Taylor Landing, Texas","Port Arthur, Texas",formerly part of,disjoint,formerly part of
