source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
City of Seattle,Polygon,City of Portland,Polygon,"To get to Seattle from Portland, you have to drive straight up Interstate 5.",cardinal_direction,north_of,The vernacular 'straight up' maps directly to a northern cardinal vector.,Level 1
Canada,Polygon,United States,Polygon,"Canada is situated just above the United States, occupying the top portion of the continent.",cardinal_direction,north_of,The terms 'above' and 'top portion' indicate a northern direction on a standard map.,Level 1
Scotland,Polygon,England,Polygon,"Scotland is located at the top of the island, sitting directly up from England.",cardinal_direction,north_of,The phrases 'at the top' and 'directly up' provide clear vernacular hints for north.,Level 1
Mexico,Polygon,United States,Polygon,"Mexico lies directly below the United States, taking up the lower part of the North American landmass.",cardinal_direction,south_of,The vernacular 'below' and 'lower part' map to a southern cardinal vector.,Level 1
City of Miami,Polygon,City of Orlando,Polygon,"If you are in Orlando, you need to head straight down the Florida peninsula to reach Miami.",cardinal_direction,south_of,The phrase 'head straight down' is a common vernacular expression for traveling south.,Level 1
Italy,Polygon,Switzerland,Polygon,"Italy extends downwards from Switzerland, pointing toward the bottom of the European map.",cardinal_direction,south_of,The terms 'downwards' and 'bottom of the map' clearly indicate a southern direction.,Level 1
Atlantic Ocean,Polygon,United States,Polygon,"On a standard map, the Atlantic Ocean sits immediately to the right of the United States.",cardinal_direction,east_of,The vernacular 'to the right' on a map corresponds to the eastern direction.,Level 1
State of Nevada,Polygon,State of California,Polygon,"When leaving California, you travel straight towards the morning sun to reach Nevada.",cardinal_direction,east_of,The expression 'towards the morning sun' (sunrise) is a natural hint for east.,Level 1
Japan,Polygon,China,Polygon,"Japan is positioned to the right of China, facing the direction of the sunrise.",cardinal_direction,east_of,Combining 'to the right' and 'sunrise' strongly maps to the eastern cardinal direction.,Level 1
Pacific Ocean,Polygon,United States,Polygon,The Pacific Ocean is located immediately to the left of the United States.,cardinal_direction,west_of,The vernacular 'to the left' on a map corresponds to the western direction.,Level 1
Portugal,Polygon,Spain,Polygon,"Portugal occupies the left-hand side of the Iberian Peninsula, sitting right next to Spain.",cardinal_direction,west_of,The phrase 'left-hand side' provides a direct linguistic cue for west.,Level 1
State of California,Polygon,State of Nevada,Polygon,"To get to California from Nevada, you just keep driving straight toward the sunset.",cardinal_direction,west_of,The vernacular 'toward the sunset' is a universal hint for the western direction.,Level 1
State of Maine,Polygon,State of New York,Polygon,The State of Maine is located in the upper right corner relative to New York.,cardinal_direction,northeast_of,The expression 'upper right corner' combines 'up' (north) and 'right' (east).,Level 1
City of Boston,Polygon,City of Philadelphia,Polygon,"From Philadelphia, traveling to Boston means moving up and to the right along the coast.",cardinal_direction,northeast_of,The vernacular 'up and to the right' directly maps to a northeast vector.,Level 1
Japan,Polygon,Taiwan,Polygon,"Looking at the map, Japan is situated diagonally up and towards the sunrise from Taiwan.",cardinal_direction,northeast_of,Combining 'diagonally up' and 'towards the sunrise' yields northeast.,Level 1
State of Washington,Polygon,State of Colorado,Polygon,The State of Washington sits in the extreme upper left quadrant of the country compared to Colorado.,cardinal_direction,northwest_of,The vernacular 'upper left quadrant' indicates a combined north and west direction.,Level 1
City of Seattle,Polygon,City of Las Vegas,Polygon,"If you fly from Las Vegas to Seattle, your plane heads up and to the left.",cardinal_direction,northwest_of,The simple phrase 'up and to the left' is a direct linguistic mapping to northwest.,Level 1
Iceland,Polygon,United Kingdom,Polygon,Iceland is positioned diagonally up and towards the setting sun from the United Kingdom.,cardinal_direction,northwest_of,Combining 'diagonally up' and 'towards the setting sun' gives the northwest vector.,Level 1
State of Florida,Polygon,State of Alabama,Polygon,The State of Florida hangs down and to the right from the border of Alabama.,cardinal_direction,southeast_of,The vernacular 'down and to the right' perfectly describes a southeast trajectory.,Level 1
City of Miami,Polygon,City of Atlanta,Polygon,"To drive from Atlanta to Miami, you must travel diagonally down and towards the morning sun.",cardinal_direction,southeast_of,Combining 'down' (south) and 'morning sun' (east) equates to southeast.,Level 1
Australia,Polygon,India,Polygon,"On a world map, Australia is located in the lower right direction from India.",cardinal_direction,southeast_of,The phrase 'lower right direction' provides a clear linguistic cue for southeast.,Level 1
State of Arizona,Polygon,State of Utah,Polygon,The State of Arizona sits diagonally down and to the left from Utah.,cardinal_direction,southwest_of,The vernacular 'down and to the left' maps directly to the southwest quadrant.,Level 1
City of San Diego,Polygon,City of Denver,Polygon,"When flying from Denver to San Diego, you head diagonally down towards the evening sun.",cardinal_direction,southwest_of,Combining 'down' (south) and 'evening sun' (west) equates to southwest.,Level 1
Spain,Polygon,France,Polygon,Spain occupies the lower left region when looking from the center of France.,cardinal_direction,southwest_of,The expression 'lower left region' provides a clear linguistic mapping to southwest.,Level 1
City of Edmonton,Polygon,City of Calgary,Polygon,"To drive from Calgary to Edmonton, you have to head straight towards the 12 o'clock position on your map.",cardinal_direction,north_of,"The vernacular '12 o'clock position' perfectly translates to an upward, northern spatial vector.",Level 2
Norway,Polygon,Denmark,Polygon,"Norway is located directly upwards on the latitudinal grid from Denmark, pushing deeper into the colder climates.",cardinal_direction,north_of,The phrases 'directly upwards' and 'colder climates' provide environmental and map-based hints for north.,Level 2
State of Minnesota,Polygon,State of Iowa,Polygon,"If you leave Iowa, keep moving vertically toward the top of the map to cross the border into Minnesota.",cardinal_direction,north_of,The terms 'vertically toward the top' give a clear 2D mapping instruction for a northern trajectory.,Level 2
State of Texas,Polygon,State of Oklahoma,Polygon,"Texas is situated directly underneath Oklahoma on the map, pointing straight toward the equator.",cardinal_direction,south_of,The expressions 'directly underneath' and 'toward the equator' map to a southern cardinal direction.,Level 2
City of San Antonio,Polygon,City of Austin,Polygon,"Leaving Austin, you just drop straight down the highway towards the 6 o'clock mark to get to San Antonio.",cardinal_direction,south_of,The vernacular 'drop straight down' and '6 o'clock mark' strongly indicate traveling south.,Level 2
Cuba,Polygon,State of Florida,Polygon,"Cuba sits at a lower latitude, positioned exactly downwards from the tip of Florida.",cardinal_direction,south_of,The linguistic hints 'lower latitude' and 'downwards' correspond to the southern direction.,Level 2
State of Ohio,Polygon,State of Indiana,Polygon,"Ohio is positioned immediately rightward of Indiana, sliding along the exact same horizontal parallel.",cardinal_direction,east_of,The words 'rightward' and 'horizontal parallel' provide a clear vernacular mapping for east.,Level 2
City of Tokyo,Polygon,City of Seoul,Polygon,Flying from Seoul to Tokyo requires heading straight towards the 3 o'clock mark on your compass.,cardinal_direction,east_of,The vernacular '3 o'clock mark' is a direct analog for the eastern direction.,Level 2
City of New York,Polygon,City of Chicago,Polygon,New York is situated completely toward the dawn compared to the inland city of Chicago.,cardinal_direction,east_of,The natural language hint 'toward the dawn' signifies traveling east towards the sunrise.,Level 2
State of Kansas,Polygon,State of Missouri,Polygon,Kansas is located immediately to the left-hand side of Missouri on the continental grid.,cardinal_direction,west_of,The phrase 'left-hand side' on a map grid translates directly to the western cardinal direction.,Level 2
City of Los Angeles,Polygon,City of Phoenix,Polygon,"Leaving Phoenix, you drive straight towards the 9 o'clock position to hit the beaches of Los Angeles.",cardinal_direction,west_of,The vernacular '9 o'clock position' is a direct analog for the western direction.,Level 2
State of Hawaii,MultiPolygon,State of California,Polygon,"Hawaii is located far out into the ocean, moving strictly toward the twilight from California.",cardinal_direction,west_of,The expression 'toward the twilight' (dusk/sunset) is a linguistic cue for west.,Level 2
City of Boston,Polygon,City of Washington D.C.,Polygon,"To travel from Washington D.C. to Boston, you angle your trip up and toward the 3 o'clock mark.",cardinal_direction,northeast_of,Combining 'up' and the '3 o'clock mark' yields a vernacular expression for northeast.,Level 2
Japan,Polygon,Philippines,Polygon,Japan is positioned diagonally towards the colder latitudes and the sunrise relative to the Philippines.,cardinal_direction,northeast_of,Combining 'colder latitudes' (up) and 'sunrise' (right) establishes a northeast vector.,Level 2
State of Maine,Polygon,State of Pennsylvania,Polygon,The State of Maine is tucked precisely into the upper-rightward quadrant of the country when viewed from Pennsylvania.,cardinal_direction,northeast_of,The geometric phrase 'upper-rightward quadrant' maps perfectly to northeast.,Level 2
City of Seattle,Polygon,City of Denver,Polygon,Seattle sits in the upper-leftward diagonal from the mountains of Denver.,cardinal_direction,northwest_of,The vernacular 'upper-leftward diagonal' gives a clear spatial mapping for northwest.,Level 2
State of Alaska,Polygon,State of Colorado,Polygon,Alaska is located drastically towards the 10 o'clock position relative to Colorado.,cardinal_direction,northwest_of,The '10 o'clock position' naturally implies a trajectory that is both up and to the left (northwest).,Level 2
Iceland,Polygon,Republic of Ireland,Polygon,Iceland sits diagonally upwards and towards the fading daylight from the Republic of Ireland.,cardinal_direction,northwest_of,Combining 'upwards' and 'fading daylight' creates a vernacular mapping for northwest.,Level 2
City of Miami,Polygon,City of New Orleans,Polygon,Miami is located on a diagonal trajectory down and toward the 4 o'clock mark from New Orleans.,cardinal_direction,southeast_of,The '4 o'clock mark' and 'trajectory down' clearly instruct a southeast heading.,Level 2
State of Florida,Polygon,State of Mississippi,Polygon,"Florida hangs off the continent, pointing diagonally towards the equator and the dawn relative to Mississippi.",cardinal_direction,southeast_of,Combining 'toward the equator' (down) and 'the dawn' (right) results in southeast.,Level 2
Australia,Polygon,Indonesia,Polygon,Australia sits directly in the lower-rightward sector of the globe when traveling from Indonesia.,cardinal_direction,southeast_of,The spatial phrase 'lower-rightward sector' perfectly describes the southeast direction.,Level 2
City of San Diego,Polygon,City of Salt Lake City,Polygon,San Diego is tucked exactly into the lower-leftward corner of the country relative to Salt Lake City.,cardinal_direction,southwest_of,The vernacular 'lower-leftward corner' is a direct geometric mapping for southwest.,Level 2
Portugal,Polygon,France,Polygon,Portugal is situated diagonally towards the warmer climates and the setting sun from France.,cardinal_direction,southwest_of,Combining 'warmer climates' (down/equator-bound) and 'setting sun' (left) yields southwest.,Level 2
State of Hawaii,MultiPolygon,State of Oregon,Polygon,"To sail from Oregon to Hawaii, you must chart a course diagonally down and towards the 8 o'clock position.",cardinal_direction,southwest_of,The combination of 'down' and '8 o'clock position' provides a clear linguistic vector for southwest.,Level 2
City of Detroit,Polygon,City of Windsor,Polygon,"Despite the general layout of the two nations, to travel from the Canadian city of Windsor to the American city of Detroit, one must cross the river heading directly towards the 12 o'clock mark.",cardinal_direction,north_of,A counter-intuitive anomaly where going from Canada to the US requires an upward spatial vector on the map.,Level 3
City of Rome,Polygon,City of New York,Polygon,"Even though it enjoys a Mediterranean climate, the Italian capital of Rome sits at a higher position on the y-axis, located directly towards the top of the globe from New York.",cardinal_direction,north_of,A paradox of climate vs. latitude; 'top of the globe' maps to the upward direction.,Level 3
