source_entity,source_geometry,target_entity,target_geometry,corpus,via_entity,relation_type,relation_label,explanation,ambiguity_level
Australia,Polygon,City of Melbourne,Polygon,Australia federated its colonies in 1901. Melbourne has topped liveability rankings repeatedly.,,topological,contains,"Computed from OpenStreetMap geometry: Australia contains City of Melbourne (area_a_km2=8.71199e+06, area_b_km2=37.7397, intersection_km2=37.7397, jaccard=4.33192e-06, ratio=230844).",Level 1
Austria,Polygon,State of Salzburg,Polygon,"Austria declared permanent neutrality in 1955. Elsewhere, Salzburg was the birthplace of Mozart.",,topological,contains,"Computed from OpenStreetMap geometry: Austria contains State of Salzburg (area_a_km2=83905.5, area_b_km2=65.58, intersection_km2=65.577, jaccard=0.000781558, ratio=1279.44).",Level 2
Alps,Polygon,Canton of Uri,Polygon,"The Alps were formed by the collision of two continental plates — and for its part, Uri was one of the three founding members of the Swiss confederation.",,topological,contains,"Computed from OpenStreetMap geometry: Alps contains Canton of Uri (area_a_km2=181761, area_b_km2=1076.09, intersection_km2=1076.09, jaccard=0.00592035, ratio=168.909).",Level 3
Borough of Manhattan,Polygon,Central Park,Polygon,"Manhattan was bought from the Lenape according to a disputed account. On another note, Central Park was designed by Olmsted and Vaux in 1858.",,topological,contains,"Computed from OpenStreetMap geometry: Borough of Manhattan contains Central Park (area_a_km2=86.8738, area_b_km2=3.40945, intersection_km2=3.40945, jaccard=0.039246, ratio=25.4803).",Level 4
Brazil,Polygon,Amazon River,Line,Brazil moved its seat of government to a purpose-built city in 1960; The Amazon discharges more water than the next several rivers combined.,,topological,contains,Computed from OpenStreetMap geometry: Brazil contains Amazon River (inside_fraction=1).,Level 5
State of California,Polygon,City of Palo Alto,Polygon,"State of California takes in the whole of Santa Clara County, and Santa Clara County in turn takes in the whole of City of Palo Alto.",Santa Clara County,topological,contains,"Composed through Santa Clara County: the relation holds on both links, so it holds end to end (area_a_km2=425001, area_b_km2=66.7351, intersection_km2=66.7351, jaccard=0.000157023, ratio=6368.49).",Level 6
Niger River,Line,Republic of Mali,Polygon,The Niger takes a great arc through the Sahel before turning south. Mali's medieval empire controlled the trans-Saharan gold trade.,,topological,crosses,Computed from OpenStreetMap geometry: Niger River crosses Republic of Mali (inside_fraction=0.445723).,Level 1
Arkansas River,Line,State of Kansas,Polygon,"The Arkansas River experiences severe seasonal flow variation. Elsewhere, Kansas was the flashpoint of a violent pre-war dispute over slavery.",,topological,crosses,Computed from OpenStreetMap geometry: Arkansas River crosses State of Kansas (inside_fraction=0.297326).,Level 2
Lesotho,Polygon,Orange River,Line,"Lesotho lies entirely above one thousand metres — and for its part, The Orange is the longest river of its region.",,topological,crosses,Computed from OpenStreetMap geometry: Lesotho crosses Orange River (inside_fraction=0.212387).,Level 3
Kingdom of Cambodia,Polygon,Mekong,Line,"Cambodia's Angkor complex is the largest religious monument anywhere. On another note, The Mekong supports the largest inland fishery in the world.",,topological,crosses,Computed from OpenStreetMap geometry: Kingdom of Cambodia crosses Mekong (inside_fraction=0.125762).,Level 4
City of Paris,Polygon,Seine,Line,Paris hosted the Exposition Universelle of 1900; The Seine was the setting for an Olympic opening ceremony in 2024.,,topological,crosses,Computed from OpenStreetMap geometry: City of Paris crosses Seine (inside_fraction=0.0217964).,Level 5
Bhutan,Polygon,City of Nairobi,Polygon,Bhutan measures progress with a happiness index. Nairobi was founded as a railway depot in 1899.,,topological,disjoint,"Computed from OpenStreetMap geometry: Bhutan disjoint City of Nairobi (area_a_km2=37722.4, area_b_km2=700.182, intersection_km2=0, jaccard=0, shared_len_deg=0, noise_km2=0, gap_deg=58.9371).",Level 1
