source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
State of California,Polygon,City of Los Angeles,Polygon,The State of California fully envelops the sprawling jurisdiction of the City of Los Angeles in its southern half.,topological,contains,A state polygon fully encompasses a city administrative polygon.,Level 1
France,Polygon,City of Paris,Polygon,The national frontiers of France serve as a complete bounding box for the densely populated capital city.,topological,contains,A nation polygon fully enclosing a city polygon.,Level 1
State of Colorado,Polygon,City of Denver,Polygon,The rectangular state lines of Colorado entirely trap the mile-high city nestled near the mountains.,topological,contains,A state polygon acting as a complete bounding box for a city polygon.,Level 1
United Kingdom,Polygon,City of London,Polygon,The island nation completely encompasses the urban borders of the historic capital.,topological,contains,A nation polygon completely surrounding a city polygon.,Level 1
Italy,Polygon,City of Rome,Polygon,The sovereign territory of Italy entirely envelops the ancient municipal grid of Rome.,topological,contains,A national polygon completely bounding a city polygon.,Level 1
State of Arizona,Polygon,City of Phoenix,Polygon,The desert state limits perfectly box in the sprawling urban footprint of Phoenix.,topological,contains,A state polygon fully enclosing a city polygon.,Level 1
State of Washington,Polygon,City of Seattle,Polygon,The state lines completely wrap around the coastal municipal grid of Seattle.,topological,contains,A state polygon fully surrounding a city polygon.,Level 1
Italy,Polygon,San Marino,Polygon,The sovereign territory of Italy completely encircles the microstate of San Marino on all sides.,topological,contains,A country polygon acting as a complete geographic container for an enclave polygon.,Level 1
France,Polygon,City of Paris,Polygon,The national borders of France serve as a complete bounding box for the capital City of Paris.,topological,contains,A nation polygon fully enclosing a city polygon.,Level 1
United Kingdom,Polygon,City of London,Polygon,The island nation of the United Kingdom fully envelopes the borders of the City of London.,topological,contains,A nation polygon completely surrounding a city polygon.,Level 1
State of Arizona,Polygon,Grand Canyon National Park,Polygon,The borders of the State of Arizona completely box in the massive expanse of the Grand Canyon National Park.,topological,contains,A state polygon acting as the absolute container for a national park polygon.,Level 1
State of Ohio,Polygon,City of Columbus,Polygon,The midwestern state boundaries completely encircle the central municipal footprint of Columbus.,topological,contains,A state polygon acting as an absolute perimeter for a city.,Level 1
Spain,Polygon,City of Madrid,Polygon,The national borders of Spain entirely encircle the central capital city.,topological,contains,A nation polygon acting as a complete boundary for a city.,Level 1
Pacific Ocean,Polygon,Island of Oahu,Polygon,The vast oceanic waters completely isolate and encircle the volcanic shores of Oahu.,topological,contains,An ocean polygon serving as the absolute boundary for an island polygon.,Level 1
State of Illinois,Polygon,City of Springfield,Polygon,The midwestern state limits perfectly surround the municipal footprint of Springfield.,topological,contains,A state polygon completely enveloping a city polygon.,Level 1
State of New York,Polygon,Central Park,Polygon,The state lines of New York completely enclose the massive green rectangle of Central Park.,topological,contains,A state polygon encompassing a park polygon.,Level 1
Australia,Polygon,Uluru,Polygon,The massive continent of Australia fully surrounds the giant sandstone monolith known as Uluru.,topological,contains,A continental polygon fully enclosing a landmark polygon.,Level 1
Lake Superior,Polygon,Isle Royale,Polygon,The massive fresh waters of Lake Superior completely encircle the landmass of Isle Royale.,topological,contains,A lake polygon fully enclosing an island polygon.,Level 1
Mediterranean Sea,Polygon,Island of Malta,Polygon,The salty waters of the Mediterranean Sea completely surround the rocky shores of the Island of Malta.,topological,contains,A sea polygon acting as a container for an island polygon.,Level 1
State of Texas,Polygon,City of Austin,Polygon,The massive state lines of Texas completely enclose the municipal boundaries of the City of Austin.,topological,contains,A state polygon containing a city polygon.,Level 1
Republic of Italy,Polygon,San Marino,Polygon,"The sovereign Italian territory completely encircles the ancient microstate, locking it permanently inland away from the sea.",topological,contains,A sovereign nation acting as an absolute geographic host for another sovereign nation.,Level 2
State of Utah,Polygon,Zion National Park,Polygon,The desert state completely surrounds the federal boundaries protecting the deep red rock canyons.,topological,contains,A state polygon fully enclosing a national park polygon.,Level 2
Lake Nicaragua,Polygon,Ometepe Island,Polygon,The massive Central American freshwater basin completely wraps around the twin-volcano island landmass.,topological,contains,A lake polygon serving as the complete boundary for a volcanic island polygon.,Level 2
State of New Mexico,Polygon,White Sands National Park,Polygon,The southwestern state completely traps the sprawling gypsum dune fields preserved by the federal government.,topological,contains,A state polygon fully bounding a national park.,Level 2
Red Sea,Polygon,Dahlak Archipelago,MultiPolygon,"The narrow sea completely isolates the small, arid island chain located off the coast of Eritrea.",topological,contains,A sea polygon entirely encircling an island chain.,Level 2
State of South Dakota,Polygon,Badlands National Park,Polygon,The midwestern state boundaries completely surround the eroded buttes and pinnacles of the federal preserve.,topological,contains,A state polygon acting as a complete geometric host for a park.,Level 2
Italy,Polygon,San Marino,Polygon,The sovereign territory of Italy entirely wraps around the independent microstate on all sides.,topological,contains,A country polygon acting as a complete geographic container for an enclave polygon.,Level 2
France,Polygon,City of Paris,Polygon,The national frontiers serve as a complete geometric container for the densely populated capital city.,topological,contains,A nation polygon fully enclosing a city polygon.,Level 2
United Kingdom,Polygon,City of London,Polygon,The island nation fully encompasses the historical financial district located in the heart of its capital.,topological,contains,A nation polygon completely surrounding a city polygon.,Level 2
State of Colorado,Polygon,City of Denver,Polygon,The rectangular state lines completely box in the mile-high city nestled near the mountains.,topological,contains,A state polygon containing a city polygon.,Level 2
Italy,Polygon,San Marino,Polygon,The sovereign microstate of San Marino is an enclave completely surrounded by the territory of Italy.,topological,contains,A classic geographical 'donut hole' where the Italian polygon entirely encloses the San Marino polygon.,Level 2
Lake Victoria,Polygon,Ssese Islands,MultiPolygon,"The massive fresh waters completely encircle the archipelago, isolating the islands from the mainland shores.",topological,contains,A lake polygon acts as the geometric container for a target MultiPolygon.,Level 2
