index,expected,predicted,match,description,model,placetype_subject,geometry_type_subject,placetype_object,geometry_type_object
0,contains,contains,True,home to,gpt-oss,city,MultiPolygon,tourism,MultiPolygon
1,disjoint,error,False,"The city is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg and Sealy.",gpt-oss,city,Polygon,city,Polygon
2,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
3,touches,touches,True,"Nassau Bay is a city in Harris County  Texas  United States  bordering the southeastern edge of the city of Houston.",gpt-oss,city,Polygon,city,MultiPolygon
4,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
5,touches,overlaps,False,The city is bounded by Topanga on the east  the Santa Monica Mountains (Agoura Hills  Calabasas  and Woodland Hills) to the north  the Pacific Ocean to the south  and Solromar in Ventura County to the west,gpt-oss,town,Polygon,village,Polygon
6,disjoint,within,False,"It is in the Palo Verde Valley of the Lower Colorado River Valley region  an agricultural area and part of the Colorado Desert along the Colorado River  approximately 224 miles (360 km) east of Los Angeles and 150 miles (240 km) west of Phoenix.",gpt-oss,office,Polygon,building,Polygon
7,overlaps,within,False,a small portion in,gpt-oss,city,MultiPolygon,county,Polygon
8,touches,touches,True,"West Covina is bordered by Covina to the northeast  Baldwin Park and Irwindale to the northwest  La Puente and Valinda to the southwest  Industry to the south  Ramona to the east  and Walnut to the southeast.",gpt-oss,city,Polygon,city,Polygon
9,disjoint,overlaps,False,"It is located in the San Joaquin Valley  22 miles (35 km) east-southeast of Fresno  at an elevation of 348 feet (106 m).",gpt-oss,city,MultiPolygon,cemetery,Polygon
10,touches,overlaps,False,located partially within ,gpt-oss,city,Polygon,municipality,Polygon
11,within,within,True,"Cypress is a city in northwestern Orange County within Southern California.",gpt-oss,city,Polygon,county,Polygon
12,touches,overlaps,False,partially within,gpt-oss,city,Polygon,municipality,Polygon
13,disjoint,disjoint,True,"Livingston is located 7 miles (11 km) west-northwest of Atwater  at an elevation of 131 feet (40 m).",gpt-oss,city,MultiPolygon,city,Polygon
14,within,within,True,located in,gpt-oss,city,MultiPolygon,county,Polygon
15,within,within,True,"Hawaiian Gardens is a city in Los Angeles County  California  United States.",gpt-oss,town,Polygon,county,MultiPolygon
16,touches,contains,False,"San Dimas is bordered by the San Gabriel Mountains range to the north  Glendora and Covina to the west  La Verne to its north and east side  Pomona to its south and east side  Walnut and the unincorporated community of Ramona to the southwest  and the unincorporated community of West San Dimas  which is an enclave in the southwestern portion of the city.",gpt-oss,city,Polygon,city,MultiPolygon
17,touches,contains,False,"Alamo Heights is an incorporated city that is surrounded by the city of San Antonio in Bexar County in the U.S. state of Texas.",gpt-oss,village,Polygon,city,MultiPolygon
18,within,within,True,"Long Beach is a city in Los Angeles County  California.",gpt-oss,city,Polygon,county,MultiPolygon
19,contains,contains,True,home to,gpt-oss,city,MultiPolygon,tourism,Polygon
20,disjoint,disjoint,True,Midland was founded as the midway point between Fort Worth and El Paso on the Texas and Pacific Railroad in 1881,gpt-oss,city,Polygon,city,MultiPolygon
21,contains,contains,True,home to,gpt-oss,city,MultiPolygon,amenity,Point
22,touches,touches,True,"Monterey Park is bordered by Alhambra  Los Angeles  Montebello  and Rosemead.",gpt-oss,town,Polygon,town,Polygon
