id,question,direction
2830,"They are driving south-east along the middle of the south-west side of a park; in which direction is the bandstand, located in the centre of the park?",north-east
5324,"I am riding north-east along the south-east shore of an island and then turn around to head back in the direction I came from, in which direction is the sea?",south-east
2347,"They are driving south along the middle of the east side of a park; in which direction is the bandstand, located in the centre of the park?",west
5640,"We are jogging south-west along the north-west shore of an island and then turn around to head back in the direction we came from, in which direction is the sea?",north-west
2611,"He is perambulating north along the middle of the east side of a park; in which direction is the bandstand, located in the centre of the park?",west
1418,"They are hiking south-east along the north-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-west
1354,"We are racing south-east along the north-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-west
2969,You are walking east along the north side of a road which runs east to west. In which direction is the road?,south
4500,He is cycling north-east along the south-east shore of the island. In which direction is the sea?,south-east
2822,"They are cycling south-east along the middle of the south-west side of a park; in which direction is the bandstand, located in the centre of the park?",north-east
2950,I am unicycling north-west along the south-west side of a road which runs north-west to south-east. In which direction is the road?,north-east
865,We are unicycling west along the north shore of the lake. In which direction is the lake?,south
1991,"I am unicycling north along the middle of the west side of a park; in which direction is the bandstand, located in the centre of the park?",east
4918,"You are jogging north-west along the south-west shore of an island and then turn around to head back in the direction you came from, in which direction is the sea?",south-west
5740,"They are hiking north-east along the south-east shore of an island and then turn around to head back in the direction they came from, in which direction is the sea?",south-east
2775,"We are perambulating south along the middle of the west side of a park; in which direction is the bandstand, located in the centre of the park?",east
5210,"They are walking south-east along the north-east shore of an island and then turn around to head back in the direction they came from, in which direction is the sea?",north-east
695,He is perambulating south along the west shore of the lake. In which direction is the lake?,east
5591,"She is unicycling south along the west shore of an island and then turns around to head back in the direction she came from, in which direction is the sea?",west
5230,"They are driving north-west along the south-west shore of an island and then turn around to head back in the direction they came from, in which direction is the sea?",south-west
2931,I am perambulating south along the east side of a road which runs south to north. In which direction is the road?,west
1403,"They are riding south along the east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",west
1758,"She is racing south-east along the south-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-east
1708,"She is driving north-east along the south-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-west
4457,You are hiking west along the north shore of the island. In which direction is the sea?,north
2191,"She is driving north along the middle of the west side of a park; in which direction is the bandstand, located in the centre of the park?",east
874,We are racing north-west along the north-east shore of the lake. In which direction is the lake?,south-west
5044,"She is running south-west along the south-east shore of an island and then turns around to head back in the direction she came from, in which direction is the sea?",south-east
2345,"They are driving east along the middle of the north side of a park; in which direction is the bandstand, located in the centre of the park?",south
1642,"He is riding north-west along the north-east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-west
2713,"She is racing west along the middle of the north side of a park; in which direction is the bandstand, located in the centre of the park?",south
4176,We are walking north-east along the north-west shore of the island. In which direction is the sea?,north-west
2641,"She is running west along the middle of the north side of a park; in which direction is the bandstand, located in the centre of the park?",south
4458,You are hiking north-west along the north-east shore of the island. In which direction is the sea?,north-east
4569,She is walking west along the north shore of the island. In which direction is the sea?,north
2790,"We are unicycling south-east along the middle of the south-west side of a park; in which direction is the bandstand, located in the centre of the park?",north-east
1936,"I am walking north-east along the middle of the north-west side of a park; in which direction is the bandstand, located in the centre of the park?",south-east
1754,"She is racing north-west along the north-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-west
1303,"We are cycling north along the west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",east
548,I am unicycling north-east along the south-east shore of the lake. In which direction is the lake?,north-west
1530,"You are walking north-west along the north-east shore of a lake and then turn around to head back in the direction you came from, in which direction is the lake?",south-west
4751,They are driving south along the west shore of the island. In which direction is the sea?,west
5727,"They are riding south along the west shore of an island and then turn around to head back in the direction they came from, in which direction is the sea?",west
4907,"You are driving south along the east shore of an island and then turn around to head back in the direction you came from, in which direction is the sea?",east
1574,"You are perambulating south-east along the south-west shore of a lake and then turn around to head back in the direction you came from, in which direction is the lake?",north-east
4383,I am hiking south along the west shore of the island. In which direction is the sea?,west
3247,We are riding north along the west side of a road which runs north to south. In which direction is the road?,east
2958,I am racing north-west along the south-west side of a road which runs north-west to south-east. In which direction is the road?,north-east
4079,He is racing north along the west shore of the island. In which direction is the sea?,west
4302,They are hiking north-west along the south-west shore of the island. In which direction is the sea?,south-west
53,I am perambulating west along the south shore of the lake. In which direction is the lake?,north
5345,"I am unicycling west along the north shore of an island and then turn around to head back in the direction I came from, in which direction is the sea?",north
4466,You are unicycling north-west along the north-east shore of the island. In which direction is the sea?,north-east
1595,"You are racing north along the east shore of a lake and then turn around to head back in the direction you came from, in which direction is the lake?",west
1201,"She is running east along the north shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south
1149,"He is driving west along the south shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north
3760,We are racing south-west along the north-west side of a road which runs south-west to north-east. In which direction is the road?,south-east
5009,"He is perambulating east along the north shore of an island and then turns around to head back in the direction he came from, in which direction is the sea?",north
3727,We are riding south along the west side of a road which runs south to north. In which direction is the road?,east
945,They are unicycling west along the north shore of the lake. In which direction is the lake?,south
2141,"He is hiking west along the middle of the south side of a park; in which direction is the bandstand, located in the centre of the park?",north
2540,"You are hiking north-east along the middle of the south-east side of a park; in which direction is the bandstand, located in the centre of the park?",north-west
5281,"I am running west along the north shore of an island and then turn around to head back in the direction I came from, in which direction is the sea?",north
