source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
West Wing,Polygon,White House Residence,Polygon,"Standing on the lawn looking directly at the main entrance, the West Wing is positioned towards your port arm.",relative_direction,left_of,The vernacular 'port arm' translates to the left direction from an observer's perspective.,Level 1
Statue of Liberty,Point,Ellis Island,Polygon,"Approaching Ellis Island on a ferry, the Statue of Liberty passes by the port bow of the ship.",relative_direction,left_of,'Port bow' is a universally recognized nautical term mapping to the left orientation.,Level 1
State of California,Polygon,State of Nevada,Polygon,"Looking at a standard map, California occupies the margin where you start reading a line of English text relative to Nevada.",relative_direction,left_of,"Reading English starts from the left margin, establishing the geometric direction.",Level 1
State of Nevada,Polygon,State of California,Polygon,"Looking at a standard map, the State of Nevada sits on the margin where a line of English text ends relative to California.",relative_direction,right_of,A line of English text terminates on the right margin.,Level 1
Richelieu Wing,Polygon,Louvre Pyramid,Polygon,"Standing at the main courtyard and facing the glass pyramid, the Richelieu wing is positioned towards your starboard arm.",relative_direction,right_of,The vernacular 'starboard arm' is a nautical term mapping to the right direction.,Level 1
Bellagio Fountains,Polygon,Las Vegas Strip,LineString,"Driving up the Las Vegas Strip in a standard American car, the fountains will erupt out the passenger window.",relative_direction,right_of,"In an American left-hand drive car, the passenger window implies the rightward direction.",Level 1
Washington Monument,Point,Capitol Building,Polygon,"Standing in the national mall plaza, the Washington Monument is positioned dead ahead of the Capitol Building, completely blocking it from your view.",relative_direction,in_front_of,The phrases 'dead ahead' and 'blocking from your view' map perfectly to the front position.,Level 1
Security Gate,LineString,Main Mansion,Polygon,"Walking up the private driveway, the security gate stands directly forward of the main mansion.",relative_direction,in_front_of,The vernacular 'directly forward' maps to the front position relative to the observer's forward path.,Level 1
Orchestra Pit,Polygon,Main Theatrical Stage,Polygon,"From the perspective of the audience, the orchestra pit sits directly ahead of the stage.",relative_direction,in_front_of,'Directly ahead' from an observer's viewpoint implies the forward/front position.,Level 1
Administration Offices,Polygon,Public Gallery,Polygon,"As you walk through the museum entrance, the administration offices are hidden in the rear of the public gallery.",relative_direction,behind,The vernacular 'in the rear' is a direct substitute for the geometric concept of being behind.,Level 1
Golden Gate Bridge,LineString,Downtown San Francisco,Polygon,"Driving away from Downtown San Francisco, the massive bridge fades away in your rearview mirror.",relative_direction,behind,The 'rearview mirror' strictly indicates that an object is located behind the observer's forward motion.,Level 1
San Gabriel Mountains,Polygon,Griffith Observatory,Polygon,"Taking a photo of the observatory from the city, the massive mountain range looms in the background of the building.",relative_direction,behind,The phrase 'in the background' visually implies the object is positioned behind the primary focal point.,Level 1
New York Stock Exchange,Polygon,Federal Hall,Polygon,The New York Stock Exchange and Federal Hall sit shoulder to shoulder on Wall Street.,relative_direction,next_to,The human-centric expression 'shoulder to shoulder' implies immediate geometric adjacency.,Level 1
Supreme Court Building,Polygon,Library of Congress,Polygon,The Supreme Court building is located at a touching distance from the Library of Congress.,relative_direction,next_to,The vernacular 'touching distance' implies being immediately adjacent or bordering.,Level 1
Petronas Tower 1,Polygon,Petronas Tower 2,Polygon,The two massive skyscrapers were built bordering one another in the financial district.,relative_direction,next_to,The term 'bordering one another' is a clear substitute for adjacent proximity.,Level 1
