index,expected,predicted,match,description,model
0,contains,contains,True,home to,gpt-oss
1,disjoint,disjoint,True,"The city is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg and Sealy.",gpt-oss
2,within,within,True,in,gpt-oss
3,touches,touches,True,"Nassau Bay is a city in Harris County  Texas  United States  bordering the southeastern edge of the city of Houston.",gpt-oss
4,within,within,True,in,gpt-oss
5,touches,invalid,False,The city is bounded by Topanga on the east  the Santa Monica Mountains (Agoura Hills  Calabasas  and Woodland Hills) to the north  the Pacific Ocean to the south  and Solromar in Ventura County to the west,gpt-oss
6,disjoint,within,False,"It is in the Palo Verde Valley of the Lower Colorado River Valley region  an agricultural area and part of the Colorado Desert along the Colorado River  approximately 224 miles (360 km) east of Los Angeles and 150 miles (240 km) west of Phoenix.",gpt-oss
7,overlaps,within,False,a small portion in,gpt-oss
8,touches,touches,True,"West Covina is bordered by Covina to the northeast  Baldwin Park and Irwindale to the northwest  La Puente and Valinda to the southwest  Industry to the south  Ramona to the east  and Walnut to the southeast.",gpt-oss
9,disjoint,disjoint,True,"It is located in the San Joaquin Valley  22 miles (35 km) east-southeast of Fresno  at an elevation of 348 feet (106 m).",gpt-oss
10,touches,overlaps,False,located partially within ,gpt-oss
11,within,within,True,"Cypress is a city in northwestern Orange County within Southern California.",gpt-oss
12,touches,overlaps,False,partially within,gpt-oss
13,disjoint,disjoint,True,"Livingston is located 7 miles (11 km) west-northwest of Atwater  at an elevation of 131 feet (40 m).",gpt-oss
14,within,within,True,located in,gpt-oss
15,within,within,True,"Hawaiian Gardens is a city in Los Angeles County  California  United States.",gpt-oss
16,touches,touches,True,"San Dimas is bordered by the San Gabriel Mountains range to the north  Glendora and Covina to the west  La Verne to its north and east side  Pomona to its south and east side  Walnut and the unincorporated community of Ramona to the southwest  and the unincorporated community of West San Dimas  which is an enclave in the southwestern portion of the city.",gpt-oss
17,touches,within,False,"Alamo Heights is an incorporated city that is surrounded by the city of San Antonio in Bexar County in the U.S. state of Texas.",gpt-oss
18,within,within,True,"Long Beach is a city in Los Angeles County  California.",gpt-oss
19,contains,contains,True,home to,gpt-oss
20,disjoint,disjoint,True,Midland was founded as the midway point between Fort Worth and El Paso on the Texas and Pacific Railroad in 1881,gpt-oss
21,contains,contains,True,home to,gpt-oss
22,touches,touches,True,"Monterey Park is bordered by Alhambra  Los Angeles  Montebello  and Rosemead.",gpt-oss
23,within,within,True,in,gpt-oss
24,within,within,True,in,gpt-oss
25,crosses,crosses,True,Principal access to the city is supplied by State Route 17 that connects San Jose and Santa Cruz.,gpt-oss
26,within,within,True,located in,gpt-oss
27,touches,within,False,"Haltom City is surrounded almost entirely by Fort Worth  North Richland Hills  Watauga  and Richland Hills.",gpt-oss
28,touches,disjoint,False,"The city is between South San Francisco and Millbrae  adjacent to San Francisco International Airport and Golden Gate National Cemetery; it is approximately 12 miles (19 km) south of Downtown San Francisco.",gpt-oss
29,touches,touches,True,"The City of Hurst is surrounded by other communities including Bedford  Euless  Fort Worth  Richland Hills  North Richland Hills  Grapevine  and Colleyville.",gpt-oss
30,disjoint,disjoint,True,"Arvin is located 15 miles (24 km) southeast of Bakersfield  at an elevation of 449 feet (137 m).",gpt-oss
31,within,within,True,in,gpt-oss
32,touches,disjoint,False,"Burlingame on its southeast.",gpt-oss
33,touches,within,False,"The city limits extend south to the Rio Grande  across from the Mexican city of Reynosa.",gpt-oss
34,contains,contains,True,home to,gpt-oss
35,disjoint,disjoint,True,"The community is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg in Fort Bend County and Wallis in Austin County.",gpt-oss
36,within,within,True,in,gpt-oss
37,touches,disjoint,False,It is almost 15 miles (24 km) north of Temecula and just north of Murrieta,gpt-oss
38,touches,contains,False,"San Dimas is bordered by the San Gabriel Mountains range to the north  Glendora and Covina to the west  La Verne to its north and east side  Pomona to its south and east side  Walnut and the unincorporated community of Ramona to the southwest  and the unincorporated community of West San Dimas  which is an enclave in the southwestern portion of the city.",gpt-oss
39,disjoint,disjoint,True,west of,gpt-oss
40,disjoint,disjoint,True,near,gpt-oss
41,disjoint,disjoint,True,"Canadian is on the eastern side of the Texas Panhandle  close to the border with Oklahoma.",gpt-oss
42,disjoint,disjoint,True,located southwest of ,gpt-oss
43,overlaps,within,False,5 799 of the population in,gpt-oss
44,within,within,True,county seat of,gpt-oss
45,touches,within,False,"West University Place is surrounded by the cities of Bellaire  Houston  and Southside Place.",gpt-oss
46,within,within,True,part of,gpt-oss
47,touches,within,False,"Upland is a city in San Bernardino County  California  United States on the border with is neighboring Los Angeles County.",gpt-oss
48,overlaps,overlaps,True,"It also extends into Collin and Hunt counties.",gpt-oss
49,touches,touches,True,"Laguna Niguel is located in the San Joaquin Hills in the southeastern corner of Orange County  close to the Pacific Ocean  and borders the cities of Aliso Viejo  Dana Point  Laguna Beach  Laguna Hills  Mission Viejo  and San Juan Capistrano.",gpt-oss
50,disjoint,disjoint,True,"Anderson is a city in Shasta County  California  approximately 10 miles south of Redding.",gpt-oss
51,disjoint,disjoint,True,"Rancho Cucamonga (/√Ä√•r‚àö¬∂nt¬†√âo¬†√§ ku√Ä√™k‚Ä¶√¥√Ä√†m¬†√•‚âà√£‚Ä¶¬∞‚Ä¶√¥/ RAN-choh KOO-k‚Ä¶√¥-MUNG-g‚Ä¶√¥) is a city located just south of the foothills of the San Gabriel Mountains and Angeles National Forest in San Bernardino County  California  United States.",gpt-oss
52,touches,within,False,"El Paso stands on the Rio Grande across the Mexico‚ÄìUnited States border from Ciudad Juárez  the most-populous city in the Mexican state of Chihuahua with over 1.5 million people.",gpt-oss
53,touches,disjoint,False,"It lies in a corridor between the cities of Berkeley and Oakland  with a border on the shore of San Francisco Bay.",gpt-oss
54,touches,touches,True,"Glendora is bordered by Azusa and the unincorporated community of Citrus to the west  San Dimas to the east and south  Covina and the unincorporated community of Charter Oak to the south  and the San Gabriel Mountains range to the north.",gpt-oss
55,within,within,True,"Today  Longview is considered a major hub city for the region  as is the nearby city of Tyler.",gpt-oss
56,within,within,True,in,gpt-oss
57,crosses,disjoint,False,upstream from,gpt-oss
58,disjoint,disjoint,True,"Corning is a city in Tehama County  California  that is located about 19 miles (31 km) south of Red Bluff and about 100 miles (160 km) north of Sacramento.",gpt-oss
59,overlaps,overlaps,True,straddling,gpt-oss
60,touches,touches,True,"In addition  it shares the U.S.-Mexico border with the city of Nuevo Progreso  Tamaulipas.",gpt-oss
61,disjoint,disjoint,True,"Beaumont is bordered on the east by the city of Banning  on the south by the city of San Jacinto  on the west by the city of Calimesa  and on the north by the unincorporated community of Cherry Valley.",gpt-oss
62,overlaps,overlaps,True,Of this  1 665 were in Clark County  and 610 were in Marathon County,gpt-oss
63,touches,touches,True,"Pico Rivera is bordered by Montebello to the west  Downey to the south  Santa Fe Springs to the southeast  and Whittier to the east.",gpt-oss
64,touches,touches,True,"It borders San Antonio to the northeast  and is adjacent to Randolph Air Force Base.",gpt-oss
65,disjoint,disjoint,True,"It lies 23 miles (37 km) east of Palm Springs  75 miles (121 km) east of Riverside  127 miles (204 km) east of Los Angeles  148 miles (238 km) northeast of San Diego  and 250 miles (402 km) west of Phoenix.",gpt-oss
